,MemberNumber,NumberPurchased
0,1410,21
1,1169,21
2,4272,20
3,1522,19
4,1004,19
5,4297,19
6,4137,18
7,4376,18
8,4683,17
9,3942,17
10,1574,17
11,1466,17
12,3248,17
13,4316,17
14,2907,17
15,3115,16
16,1991,16
17,3956,16
18,1908,16
19,1146,16
20,4933,16
21,3782,16
22,2014,16
23,4165,16
24,3137,16
25,1740,16
26,3830,16
27,1966,16
28,2511,15
29,3081,15
30,3082,15
31,1653,15
32,2252,15
33,4206,15
34,1998,15
35,2584,15
36,2298,15
37,3246,15
38,3549,15
39,1087,15
40,1052,15
41,4624,14
42,2758,14
43,4494,14
44,3817,14
45,1618,14
46,3743,14
47,1798,14
48,3462,14
49,4860,14
50,3221,14
51,4941,14
52,3737,14
53,1887,14
54,3116,14
55,1870,14
56,2138,14
57,3090,13
58,2524,13
59,2193,13
60,4018,13
61,2437,13
62,1507,13
63,1895,13
64,3957,13
65,4086,13
66,4314,13
67,4799,13
68,3499,13
69,1235,13
70,2645,13
71,2835,13
72,1129,13
73,1748,13
74,3905,13
75,4183,13
76,2271,13
77,1190,13
78,1013,13
79,4464,13
80,3308,13
81,2993,13
82,1572,13
83,4416,12
84,2349,12
85,4715,12
86,1077,12
87,1285,12
88,4406,12
89,4338,12
90,3915,12
91,1050,12
92,3487,12
93,2873,12
94,3539,12
95,2789,12
96,1468,12
97,2760,12
98,3909,12
99,1094,12
100,2617,12
101,3972,12
102,1896,12
103,4623,12
104,3189,12
105,2851,12
106,3517,12
107,2718,12
108,1811,12
109,1419,12
110,2440,12
111,3849,12
112,3107,12
113,2746,12
114,3247,12
115,4915,12
116,3524,12
117,2663,12
118,4628,12
119,1922,12
120,3180,12
121,4364,12
122,2389,12
123,1566,12
124,2612,12
125,4656,12
126,3266,12
127,1248,12
128,4234,12
129,1810,12
130,3437,12
131,2973,12
132,1621,12
133,4121,12
134,3863,12
135,3122,12
136,2325,12
137,1379,12
138,1294,12
139,4773,12
140,1761,12
141,4153,12
142,2164,12
143,4594,12
144,2293,12
145,2589,12
146,4211,12
147,4872,12
148,4169,11
149,3227,11
150,2132,11
151,3094,11
152,1948,11
153,1747,11
154,1510,11
155,1877,11
156,2701,11
157,4146,11
158,2056,11
159,4650,11
160,1753,11
161,4124,11
162,3649,11
163,4925,11
164,2289,11
165,3164,11
166,1625,11
167,3502,11
168,2937,11
169,1935,11
170,4434,11
171,1878,11
172,3657,11
173,1797,11
174,2396,11
175,4800,11
176,2803,11
177,1107,11
178,2133,11
179,3348,11
180,2390,11
181,1979,11
182,3194,11
183,4969,11
184,2946,11
185,2045,11
186,3832,11
187,4217,11
188,2175,11
189,4526,11
190,1612,11
191,3918,11
192,2381,11
193,4129,11
194,3761,11
195,3727,11
196,2394,11
197,3529,11
198,4972,11
199,1687,11
200,1702,11
201,2065,11
202,2755,11
203,4426,11
204,2990,11
205,4155,11
206,3142,11
207,4504,11
208,1561,11
209,3879,11
210,2428,11
211,3745,11
212,2041,11
213,1237,11
214,4574,11
215,4649,11
216,3329,11
217,4868,11
218,1827,11
219,4762,11
220,4779,11
221,3663,11
222,1116,10
223,3474,10
224,1483,10
225,4931,10
226,1065,10
227,1153,10
228,3203,10
229,4036,10
230,3258,10
231,1741,10
232,4515,10
233,2306,10
234,4448,10
235,1932,10
236,1652,10
237,3559,10
238,2093,10
239,3776,10
240,3382,10
241,4671,10
242,4261,10
243,1457,10
244,3643,10
245,2868,10
246,3560,10
247,1929,10
248,1162,10
249,3917,10
250,2706,10
251,2540,10
252,2955,10
253,2562,10
254,3835,10
255,1816,10
256,1692,10
257,3013,10
258,1275,10
259,2549,10
260,2355,10
261,4712,10
262,3844,10
263,1176,10
264,1931,10
265,3938,10
266,2070,10
267,3181,10
268,3811,10
269,4652,10
270,3289,10
271,2960,10
272,1796,10
273,1774,10
274,4201,10
275,4130,10
276,4391,10
277,3846,10
278,4772,10
279,3900,10
280,2017,10
281,1654,10
282,4679,10
283,4828,10
284,1852,10
285,1889,10
286,2160,10
287,4862,10
288,3099,10
289,3127,10
290,1817,10
291,1602,10
292,3361,10
293,4280,10
294,4266,10
295,2215,10
296,4959,10
297,4684,10
298,2120,10
299,2011,10
300,4735,10
301,3095,10
302,4657,10
303,1136,10
304,4164,10
305,3083,10
306,2552,10
307,1103,10
308,1661,10
309,4645,10
310,1553,10
311,3864,10
312,4842,10
313,1097,10
314,3931,10
315,3030,10
316,2048,10
317,2218,10
318,4814,10
319,2666,10
320,1682,10
321,4190,10
322,3465,10
323,1690,10
324,4991,10
325,3225,10
326,2751,10
327,2991,10
328,2806,10
329,2772,10
330,2320,10
331,3435,10
332,3284,10
333,3582,10
334,3038,10
335,2341,10
336,3862,10
337,3895,10
338,2339,10
339,4505,10
340,2855,10
341,1628,10
342,2950,10
343,3505,10
344,1964,10
345,1204,10
346,4487,10
347,2042,10
348,4721,10
349,1327,10
350,1053,10
351,2332,10
352,3660,10
353,2357,10
354,1312,10
355,2545,10
356,1361,9
357,1995,9
358,1108,9
359,4045,9
360,1428,9
361,3667,9
362,4453,9
363,3839,9
364,1913,9
365,3531,9
366,2365,9
367,2236,9
368,4084,9
369,1465,9
370,4292,9
371,4133,9
372,1268,9
373,3402,9
374,3768,9
375,4046,9
376,1061,9
377,4788,9
378,2984,9
379,4508,9
380,3982,9
381,3421,9
382,3948,9
383,2059,9
384,3668,9
385,4578,9
386,4741,9
387,2443,9
388,2832,9
389,1225,9
390,4695,9
391,1595,9
392,4394,9
393,2849,9
394,4561,9
395,4243,9
396,3785,9
397,3005,9
398,1427,9
399,4601,9
400,2716,9
401,4091,9
402,1750,9
403,3484,9
404,4132,9
405,4235,9
406,4076,9
407,3639,9
408,3010,9
409,2595,9
410,2154,9
411,1947,9
412,3583,9
413,1616,9
414,2086,9
415,4162,9
416,4694,9
417,1867,9
418,3158,9
419,1034,9
420,1109,9
421,3821,9
422,4362,9
423,3855,9
424,2847,9
425,3896,9
426,4618,9
427,4401,9
428,1970,9
429,2784,9
430,3480,9
431,1209,9
432,1010,9
433,4958,9
434,3893,9
435,1554,9
436,3976,9
437,3439,9
438,2274,9
439,4330,9
440,2778,9
441,2230,9
442,3185,9
443,3731,9
444,2956,9
445,1286,9
446,2029,9
447,4548,9
448,4797,9
449,4251,9
450,3282,9
451,1504,9
452,1580,9
453,4617,9
454,4367,9
455,3138,9
456,2453,9
457,2738,9
458,1432,9
459,1023,9
460,4758,9
461,2857,9
462,4527,9
463,3617,9
464,2033,9
465,3960,9
466,1399,9
467,1722,9
468,2470,9
469,2860,9
470,4690,9
471,3011,9
472,4387,9
473,3670,9
474,3059,9
475,3123,9
476,2515,9
477,2602,9
478,3476,9
479,1111,9
